,name,story,genre
0,1. Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",Action
1,2. Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",Action
2,3. Pushpa: The Rule - Part 2,"A smuggling kingpin faces off against a vengeful rival while expanding his empire. He manipulates politics, makes big deals, and navigates tense confrontations. A public apology leads to a dramatic showdown, ending with challenge.",Action
3,4. Kraven the Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",Action
4,5. Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",Action
5,6. Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,Action
6,7. Civil War,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown.",Action
7,8. Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",Action
8,9. Marco,"Gangster Marco and the powerful Adat family, who dominate Kerala's gold mafia.",Action
9,10. The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",Action
10,11. Furiosa: A Mad Max Saga,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,Action
11,12. Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,Action
12,13. The Killer's Game,"When a hitman is diagnosed with a terminal illness, he decides to take a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues.",Action
13,14. Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",Action
14,15. The Count of Monte-Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the Count of Monte Cristo to exact revenge on the men who betrayed him.",Action
15,16. Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",Action
16,17. The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,Action
17,18. Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.",Action
18,19. The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",Action
19,20. Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe.",Action
20,21. Homestead,"Amid chaos, ex-Green Beret joins prepper compound; love grows, truths arise, and a community unites.",Action
21,22. Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family.",Action
22,23. The Beekeeper,"A kind-hearted landlady commits suicide after falling victim to a phishing scam, leading former ""Beekeeper"" operative Adam Clay to set out on a brutal campaign for revenge upon those responsible.",Action
23,24. Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,Action
24,25. Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.,Action
25,26. Werewolves,Two scientists try to stop a mutation that turns people into werewolves after being touched by a super-moon the year before.,Action
26,27. Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",Action
27,28. Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",Action
28,29. Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",Action
29,30. Rifle Club,A historic rifle club faces a vengeful arms dealer's gang in the Western Ghats. Skilled hunters fight to survive and protect their legacy.,Action
30,31. Blitz,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.,Action
31,32. Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present.",Action
