,name,story,genre
0,1. Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Horror
1,2. The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",Horror
2,3. Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",Horror
3,4. Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.,Horror
4,5. Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,Horror
5,6. Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",Horror
6,7. Nightbitch,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn.",Horror
7,8. Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",Horror
8,9. Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",Horror
9,10. The Damned,"A 19th-century widow has to make an impossible choice when, during an especially cruel winter, a foreign ship sinks off the coast of her Icelandic fishing village.",Horror
10,11. Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",Horror
11,12. Get Away,A family's vacation to a remote getaway takes an unexpected turn when they discover the island they're on is inhabited by a serial killer.,Horror
12,13. Kinds of Kindness,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",Horror
13,14. Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",Horror
14,15. Terrifier 3,Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.,Horror
15,16. A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,Horror
16,17. Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,Horror
17,18. Werewolves,Two scientists try to stop a mutation that turns people into werewolves after being touched by a super-moon the year before.,Horror
18,19. I Saw the TV Glow,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.,Horror
19,20. MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",Horror
20,21. The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",Horror
21,22. Oddity,A psychic medium attempts to uncover the truth behind her sister's murder at the site of the crime.,Horror
22,23. The Crow,"Soulmates Eric and Shelly are brutally murdered. Given a chance to save the love of his life, Eric must sacrifice himself and traverse the worlds of the living and the dead, seeking revenge.",Horror
23,24. Grafted,A bright but socially awkward exchange student takes her craving for popularity to horrifying heights.,Horror
24,25. Don't Move,"A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down.",Horror
25,26. Azrael,"In a world where no one speaks, a devout female-led community hunts down a young woman who has escaped imprisonment. Recaptured, Azrael is due to be sacrificed to an ancient evil in the wilderness, but fights for her own survival.",Horror
